javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","""Cukup dekat dari hotel saya menginap, hanya berjalan kaki, di sini banyak sekali pilihan makanan, tempat yang nyaman, dan menyenangkan""",0.9541246891021729
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","""Iya benar, keponakanku sedang jaga warung.""",0.9225658178329468
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"""Kangkungnya lumayan tetapi ikan saus padangnya mengecewakan kami diberikan ikan yang kosong terakhir kami tidak makan ikannya dan dikembalikan.""",0.9383030533790588
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","""Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman untuk ngobrol-ngobrol. Kopi campur teh yang masih hangat sekali ini saya coba ternyata enak sekali, dipadu dengan telur setengah matang jadi teman bersilaturahim dengan teman-teman. Tempat yang non-smoker area tambah menyenangkan dengan menikmati pemandangan perginya-datangnya orang ke mall ini.""",0.9403756856918335
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar terima bantuan sosial 2018 senilai rp 44, 9 miliar",0.9785870313644409
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"""Ini salah satu contoh generasi yang tidak berguna. Tidak malah menguntungkan untuk bangsa tetapi malah jadi sesuatu yang membahayakan untuk bangsa! Tegas jerat saja membuat uu itu""",0.9486340880393982
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","""Malam kawan, waktu ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.""",0.9548671841621399
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,"""Sangat lemah memang dia ini saya juga jijik sebenarnya""",0.8904522061347961
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","""Terakhir ke hanamasa biaya 120 ribu / orang. Tapi puas banget dari itu. Bisa pilih makanan sepuasnya, tapi rasa tidak mengecewakan, cuma pintar-pintarnya kita sendiri meracik. Kalau penggemar daging sapi pasti suka ke sana""",0.9680230617523193
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","""Untuk menuju ke the peak memang terasa jauh sekali dari pusat kota bandung, dan akses jalan yang agak membingungkan dan jalan berkelok-kelok. Tapi anda tidak akan tersesat karena di setiap sudut ada petunjuk ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat indah.""",0.9747169017791748
Kebon raya bogor isa didadekne salah siji tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,1.0
"The peak panggone ning cedeke lembang, waratan duwur ning bandung sing adem lan panggone sing apik banget nanging dalan ngge moro panggonan iki kelok-kelok banget lan tikungan landep lan curam, ora disarane dingge motoran pas udan-udan lan wengi. Ning the peak ana nggen mangan sing pemandangane kutha bandung sing indah saka nggunung, rega panganane sing larang banget lan ora sumbut.","The peak berlokasi di dekat lembang, dataran tinggi di bandung yang sejuk dan lokasi yang sangat baik namun jalan untuk mencapai tempat ini sangat berkelok disertai tikungan tajam nan curam, tidak disarankan untuk berkendara saat hujan dan malam hari. Di the peak terdapat restoran dengan pemandangan kota bandung yang indah dari perbukitan, harga makanan yang sangat mahal dan sangat tidak sesuai.","""The peak tempatnya dekat lembang, ngasih pemandangan tinggi dari bandung yang sejuk dan tempat yang indah sekali tetapi jalan menuju ke tempat ini berkelok-kelok sangat dan tikungan landai dan curam, tidak disarankan untuk motoran di saat hujan-hujan dan malam hari. Di the peak ada untuk makan yang pemandangannya kota bandung yang indah dari atas gunung, harga makanannya yang mahal sekali dan tidak cocok.",0.9317243099212646
Aku kapok nganggo jasa lion air,Saya kapok menggunakan jasa lion air,Saya kapok menggunakan jasa lion air,1.0
Akeh bab sing isa dhewe tindakake kanggo ngisi wektu luwang.,Banyak hal yang dapat kita lakukan untuk mengisi waktu luang.,Banyak hal yang bisa kita lakukan untuk mengisi waktu luang.,0.9965143203735352
Saya apatis ngelaporake bab-bab kaya iki. Amarga nganti minggu wingi isih tetep hurung digarap. Mung janji-janji terus.,Semakin apatis melaporkan hal-hal seperti ini. Karena sampai minggu lalu masih tetap belum dikerjakan. Hanya janji-janji terus.,Saya apatis melaporkan hal-hal seperti ini. Karena sampai minggu kemarin masih belum ditindaklanjuti. Hanya janji-janji terus.,0.9589155316352844
Rega dhuwur banget porsi sithik banget ora janji maneh aku teko kanggo kepindho. Panganane ora beda adoh karo emakku dong!,Harga selangit porsi seiprit tidak janji lagi saya datang untuk yang kedua kali. Masakannya tidak beda jauh sama ema saya dong!,"""Harga mahal banget porsi sedikit banget tidak akan lagi saya datang untuk kembali. Makanan tidak beda jauh dengan masakan ibuku dong!""",0.8985304832458496
"Anyar lan kashediya, 5 sekat mangan awan kotak kotak mangan yooyee kotak bekal anti bocor 590","Baru dan tersedia, 5 sekat makan siang kotak kotak makan yooyee kotak bekal anti bocor 590","Baru dan terjaga, 5 kotak makan siang kotak kotak makan yaa kotak bekal anti bocor 590",0.9473380446434021
"Ora ngerti ya kenangapa resto iki manggoni ranking 12 saka 1800an resto sing ana ing jakarta. Regane larang! Panggonane ndhelik, lan rasa panganane biasa bae. Aja percaya banget karo review sing nyesatake.","Tidak mengerti ya kenapa resto ini menduduki peringkat 12 dari 1800an resto yang ada di jakarta. Harga mahal! Lokasi tersembunyi, dan rasa makanan biasa saja. Jangan terlalu percaya sama review yang menyesatkanlah.","""Tidak paham ya kenapa resto ini menduduki ranking 12 dari 1800an resto yang ada di jakarta. Harganya mahal! Tempatnya biasa saja, dan rasa makanannya biasa saja. Jangan percaya banget dengan review yang menyesatkan.""",0.9616619348526001
Bledosan ning aksi protes ning afghanistan mateni wong 68,Ledakan dalam aksi protes di afghanistan tewaskan 68 orang,Ledakan di aksi protes di afghanistan tewaskan orang 68,0.9590679407119751
"Aku teka marang restoran kuwi bareng karo kancaku. Kancaku kakehan kaget ndhelok pemandangane sing apik tenan ing mbengi. Aku ndhuweni kasempatan njajal stik impore, enak tenan apa maneh sause. Mmm yummi. Yen ana kasempatan aku pengen teka maneh marang kana.","Saya berkunjung ke restoran itu bersama dengan teman saya. Teman saya kebanyakan terkejut melihat pemandangannya yang sangat indah di malam hari. Saya berkesempatan mencoba steak impornya, sangat enak apalagi sausnya. Mmm yummi. Kalau ada kesempatan saya ingin berkunjung lagi ke sana.","""Saya datang ke restoran itu bersama teman-teman saya. Temanku sangat kaget melihat pemandangan yang sangat indah di malam hari. Saya memiliki kesempatan untuk mencoba stik impor, enak sekali apalagi sausnya. Mmm yummi. Kalau ada kesempatan saya ingin datang ke sana lagi.""",0.9620968699455261
Akses menyang dusun bambu isa ditekani kira-kira ing wektu 1 - 2 jam nganggo mobil pribadi. Mara menyang dusun bambu diusahakake pas wektu wengi amarga awake dhewe isa ndelok cetha pemandangan sing ana lan wektu sing pas kanggo mangan wengi.,Akses menuju dusun bambu bisa ditempuh kira-kira dalam waktu 1 - 2 jam menggunakan mobil pribadi. Berkunjung ke dusun bambu diusahakan saat petang hari karena kita dapat melihat jelas pemandangan yang ada dan waktu yang pas untuk makan malam.,Akses ke ke dusun bambu bisa ditempuh kira-kira dalam waktu 1 - 2 jam menggunakan mobil pribadi. Pergi ke ke dusun bambu diusahakan pada waktu malam karena sipemilik kita bisa melihat suasana pemandangan yang ada dan waktu yang tepat untuk makan malam.,0.9700052738189697
"Panganane oke padha karo xo suki liyane. Nanging sanajan dina prei gedhe kaya badha iki udhu artine meseme prei lan pesenan ombe, lan liya-liyane kudu mesen ping akeh. Tulung dijaga kepuasan pelanggane. Matur suwun,","Makanan oke sama seperti xo suki lainnya. Tetapi walaupun hari libur besar seperti lebaran ini bukan berarti senyumnya libur dan order minum, dan lain-lain harus order berkali-kali. Tolong di jaga kepuasan pelanggannya. Terima kasih.","""Makanannya oke sama dengan xo suki lainnya. Namun meskipun diskon besar seperti kemaren terbilang mengecewakan antara order banyak dan pesanan jomblober, dan yang lainnya harus order banyak. Harap dijaga kepuasan pelanggannya. Terima kasih,""",0.9008356928825378
