javanese,ground_truth,generated
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Cek dari hotel saya menginap, tapi dibawa jalan, di sini banyak sekali pilihan makanannya, tempatnya yang luas, dan menyenangkan"
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","""Iya bener, mereka sedang menjaga toko."""
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,Kualitasnya lumayan tetapi saus padang nya mengecewakan kami beri tahu badiantang akhir kami tidak makan badiannya dan dikembalikan.
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Berada di atas gedung sama aston dan fave hotel, tempat ini sangat nyaman untuk bersantai-bersandar. Kopi campur teh yang segar baru ini saya coba terbaknya enak sekali, dipadukan dengan daging setengah matang jadi teman bergobrolan dengan teman-teman. Tempat yang bebas asap rokok plus senang menenangkan hati dengan menikmati pemandangan perubahan wira-wiri orang-orang yang masuk keluar ke mal ini."""
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar menerima bantuan sosial 2018 sebesar rp 44, 9 miliar"
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"""Ini salah satu contoh generasi yang tidak berguna. Tidak malah berguna bagi bangsa tapi malah jadi sesuatu yang merugikan bagi bangsa! Mantap jeratannya saja bikin uu itu"""
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore konco, waktu ini sedang dilakukan pemeliharaan sehingga aplikasi tidak bisa diakses."""
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Sungguh berat kami dua ini aku juga jiden sakit
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","""Terakhir ke sama masa harganya 120 ribu / orang. Tapi puas lebih dari itu. Bisa ambil makanan puas, tapi rasa tidak mengecewakan, pintar-pintar mereka saja racik sendiri. Kalau penggemar daging sapi pasti suka ke sini"""
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","""Untuk menuju ke the peak memang jauh sekali dari pusat kota bandung, dan aksesnya yang lumayan membingungkan dan jalan sedikit berkelok-kelok. Tetapi kamu pasti tidak akan tersesat karena hampir di setiap sudut ada tanda menuju ke the peak. Tempatnya sangat bagus buat kamu yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat bagus."""
