javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Saya tinggal di hotel ini, tapi saya dibawa jalan-jalan, di sini banyak sekali pilihan makanan, tempatnya yang luas, dan menyenangkan",0.9447553753852844
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya benar, adik sedang menjaga warung.",0.9804602265357971
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"Kangkungnya cukup banyak, tapi sayang saus padanya membuat kangkung itu menjadi pahit, akhirnya kangkungnya tidak dimakan dan dibuang.",0.8902370929718018
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Berada di Braga City Walk yang satu gedung dengan Aston dan Fave Hotel, tempat ini sangat nyaman untuk nongkrong. Kopi campur teh yang baru dan lezat ini aku coba dan ternyata sangat enak, dipasangkan dengan telur setengah matang menjadi teman ngobrol dengan teman-teman. Tempat yang bebas asap rokok membuat lebih menyenangkan menikmati pemandangan lalu-lalang orang-orang yang masuk-keluar mall ini.",0.9418319463729858
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar menerima bantuan sosial 2018 sebesar Rp 44,9 miliar",0.9251630902290344
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"Ini salah satu contoh generasi yang tidak berguna. Tidak hanya tidak berguna bagi bangsa, tapi malah menjadi sesuatu yang membahayakan bagi bangsa! Sudah pasti jeratan hukum itu akan membuat mereka tidak berani lagi melakukan tindakan yang membahayakan.",0.9273518919944763
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore kawan, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak bisa diakses.",0.9908697605133057
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Orang yang sombong ini aku juga tidak terlalu peduli,0.8822462558746338
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir harga yang ditawarkan 120 ribu per orang. Tapi puasnya lebih dari itu. Saya ambil makanan sepuasnya, tapi rasanya tidak membuat bosan, karena pintar-pintar kita sendiri yang mengolahnya. Jadi penggemar daging sapi pasti senang makan di sini",0.9446162581443787
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk menuju ke the peak memang terasa jauh dari pusat kota bandung, dan akses yang cukup membingungkan serta jalan yang kecil berkelok-kelok. Namun kamu tidak akan kesasar karena hampir di setiap belokan ada tanda menuju the peak. Tempatnya sangat cocok untuk kamu yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat indah.",0.9773287177085876
