javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Dekat dari hotel saya menginap, hanya berjalan kaki, di sini sangat banyak pilihan makanannya, tempatnya yang luas, dan menyenangkan",0.9749849438667297
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya benar, beliau sedang jaga warung.",0.9892370700836182
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,Kangkengnya lumayan tapi udang saus padangnya mengecewakan banget dikasih udang yang kopong akhirnya kita tidak makan udangnya dan kita kembalikan,0.9404640197753906
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Terletak di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman untuk bersantai. Kopi campur teh yang baru pertama kali saya coba ternyata sangat enak, dipadukan dengan telur setengah matang jadi teman ngobrol bersama teman-teman. Tempat yang bebas merokok semakin menyenangkan sambil menikmati pemandangan silih bergantinya orang yang masuk keluar mal ini.",0.9584969878196716
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar terima bantuan sosial 2018 sebesar rp 44,9 miliar",0.9638535976409912
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,Ini salah satu contoh generasi yang tidak berguna. Tidak malah bermanfaat bagi bangsa namun malah menjadi sesuatu yang berbahaya bagi bangsa! Sepakat menjegal saja buat uu saja,0.9498892426490784
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore rekan, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.",0.9847463965415955
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Jujur lemah banget ini aku tapi juga so so jual mahal,0.8710283637046814
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puas banget harganya. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintarnya kita saja meraciknya. Pencinta daging sapi pasti suka ke sini",0.9750128388404846
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk menuju ke the peak memang terasa cukup jauh dari pusat kota bandung, dan aksesnya yang cukup membingungkan dan jalan kecil berliku. Tapi anda tidak akan tersesat karena hampir disetiap pertigaan terdapat tanda penunjuk arah ke the peak. Tempatnya sangat cocok bagi anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat cantik.",0.9678124785423279
Kebon raya bogor isa didadekne salah siji tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,Kebun raya bogor dapat dijadikan salah satu tujuan destinasi wisata,0.995612382888794
"The peak panggone ning cedeke lembang, waratan duwur ning bandung sing adem lan panggone sing apik banget nanging dalan ngge moro panggonan iki kelok-kelok banget lan tikungan landep lan curam, ora disarane dingge motoran pas udan-udan lan wengi. Ning the peak ana nggen mangan sing pemandangane kutha bandung sing indah saka nggunung, rega panganane sing larang banget lan ora sumbut.","The peak berlokasi di dekat lembang, dataran tinggi di bandung yang sejuk dan lokasi yang sangat baik namun jalan untuk mencapai tempat ini sangat berkelok disertai tikungan tajam nan curam, tidak disarankan untuk berkendara saat hujan dan malam hari. Di the peak terdapat restoran dengan pemandangan kota bandung yang indah dari perbukitan, harga makanan yang sangat mahal dan sangat tidak sesuai.","The peak terletak di dekat lembang, dataran tinggi di bandung yang sejuk dan memiliki pemandangan sangat cantik namun jalan menuju ke tempat ini sangat berkelok dan tikungan tajam dan curam, tidak disarankan untuk di motor menggunakan pada saat hujan dan malam hari. Di the peak terdapat tempat makan yang menghadap pemandangan kota bandung yang indah dari ketinggian, harga makanannya yang tergolong mahal dan tidak sebanding.",0.9637492299079895
Aku kapok nganggo jasa lion air,Saya kapok menggunakan jasa lion air,Saya kapok pakai jasa lion air,0.9834986925125122
