javanese,ground_truth,generated
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","banjo sing first import form Amerika, usaha awak siting tenan, tenan sing apik lan tenan tenan.
Bersihkan lantamaku malam hari, cuma duduhkan langsung, di sini banyak tempat makan, tempatnya yang nyaman, dan menyenangkan banget dengan awan sitong tempat tingan, tempat tingan yang bagus dan tempat tingan juga."
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Lӓubү this, really, see [that] [again] guard warung. Iya beser bar, dekne lagi jaga warung. Lӓubү this, really, see [that] [again] guard warung. Iya beser bar, dekne lagi jaga warung. Lӓubү this, really, see [that] [again] guard warung. Iya beser bar, dekne lagi jaga warung. Lӓubү this, really, see [that] [again] guard warung. Iya beser bar, dekne lagi jaga warung. Lӓubү this, really, see [that] [again] guard warung. Iya beser bar, dekne lagi jaga warung. Lӓubү this, really, see [that] [again] guard warung. Iya beser bar, dekne lagi jaga warung. Lӓubү this, really, see [that] ["
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"Kangen dadi seje dibalik balik sing kejongan
1. Menurunnya harga suwi tetapi pas iku di saus, lembap,... di dekatnya, ujungnya, dia tidak di sini tidak dekatnya di sini tidak di sini di sini. Suka lagi membaling kembali yang lain di depannya."
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Sambange nu berjejan adempo, nyangkalo lalek njjowakde dina oranye, varih!
Di briga kota walk dekat gedung karana aston lan fave hotel, tempat ini nyaman buat yang bertukar bertukar. kopi campur ternyata yang baru ke 1 ini mau mencoba tiba beberapa waktu agak ke daerah terbaru terdapat sebagian bagian benar benar mengalah kanca agak tergang"
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","nu misah bantos. Te marupok alir nyewatka ring 2018, iku dhewe tonekna, panggone tanur vulu, dipercaya nganti motornya? Patokan karo, gede-nenene, nganti kakuenan lohan pasang motor? Tuku hirup nangkuher suwe. Panganane lohan Harian kotor banter tahun. Pelayanannya kurang profesional. Jatuh kecoklan.
1 ) Gianyar nehu bantuan sosial 2018 jenenge rp 44.900.000
2 ) Transasi sosial 2018 jenenge rp 44.900.000
3 ) Transasi sosial 2018 jenenge rp 44.900.000
4 ) Transasi sosial 2018 jenenge rp 44.900.000
5 ) Transasi sosial 2018 jenenge rp 44.900.000
6 ) Transasi sos"
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,";U
This one of the generational story which not make you worse. It actually improve the society but also make something bad for the society. Sweet water ae nyipu ae mung kuwi kuwi ;U
Iki salah siji contoh generasi yang tidak sebaiknya. Iya lain malah membantai bangsa tapi juga membuat keadilan untuk bangsa! Enteng jejeru ae nyipu ae hanya sekali kuipin;U"
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Ora mesti ada pakema - apa apa. Mau ganti aplikasi ya.
Tagline, sekarang lagi dilakukan pemeliharaan karena aplikasi tidak bisa diakses. Mungkin Anda ingin mengganti aplikasi saja."
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,"mlean asuhaku blocks..""My place is far from here, this is also my home, my parents are looking after me.""
Tenan ringkih dhewe iki aku uga jiden saktenane mlean asuhaku blocks..""My place is far from here, this is also my home, my parents are looking after me."""
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","., namun lebih pilih jangan lambang lagi. Selalu pilih better.

  1. Terakhir dihanamase regas 120 uang / orang. Namanya gawe 120 ekor. Banget panggonakannyalah. Mba isa pakemeh panggonan, namun kalau lebih pilih jangan lambang lagi. Selalu pilih better..


jawaMean: terus
hanamasaRegas 120 uang / orang
terus
dewanegara2 Indonesia
namaagama2 Islam
panggonan Dijaga
uangdiwarakan
oranorang
panggonan terpaksa
oranpaulunkan
pilihpilih"
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Kanggo ke 3 malamsa gabungne nanging jembarah ing
For reaching to the peak far away from the city center, and the access is not easy to be found, and the access which is little and difficult to make me be confused and the road is not smooth to go and come. However, you can not be confused because it is long in the level of the way, and the way is not smooth to go and come. For being good to you who want to see the scenery of romantic, with the view of the city which is good"
