javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","""Dekat dari hotel kami menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempatnya yang nyaman, dan menyenangkan""",0.9793386459350586
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya benar, mereka sedang jaga toko.",0.9754540324211121
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"""Kangkungnya lumayan tapi udang saus padangnya mengecewakan kami diberi udang yang kosong akhirnya kami tidak makan udangnya dan dikembalikan. """,0.9515228867530823
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","""Terletak di bandung city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman untuk bersantai-santai. Kopi dan teh yang baru sekali ini saya coba ternyata sangat enak, dipadu dengan telur setengah matang menjadi tempat kawan mengobrol dengan kawan-kawan. Tempat non-merokok semakin menyenangkan dengan menikmati pemandangan lalu lalang orang yang keluar masuk mal ini.""",0.9481532573699951
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar terima bantuan sosial 2018 lebih Rp 44, 9 miliar",0.9548884630203247
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,Ini salah satu contoh generasi yang tidak terpakai. Bukan malah menguntungkan untuk bangsa tapi malah jadi sesuatu yang membahayakan untuk bangsa! Mantap hukuman mati saja buat uu itu,0.9514652490615845
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","""Siang kawan, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak bisa diakses.""",0.9622435569763184
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,"""Sangat rapuh kami ini saya juga jijik sebenernya""",0.8625980615615845
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","""Terakhir di hanamasa harganya 120 ribu / orang. Tapi puas lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pinter-pinter kita saja masak sendiri. Kalau penggemar daging sapi pasti suka ke sini""",0.9721746444702148
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","""Untuk pergi ke the peak memang terasa jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalanan berkelok-kelok. Tetapi kalian bisa tidak akan tersesat karena banyak tanda arah menuju the peak. Tempatnya sangat bagus untuk kalian yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat bagus.""",0.9689458012580872
