javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Cepak dari hotel saya menginap di sini hanya dibawa jalan ke sini banyak sekali pilihan makanannya, tempatnya yang luas, dan menyenangkan",0.94809490442276
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya bener, deknen lagi jaga warung.",0.9390009045600891
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,Kangkung lumayan tapi yuyu saus padangnya nguciwakakan saya dikei ayam yang kopong akhir saya tidak makan ayamnya dan dibalekan,0.9040709137916565
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Tempat di braga city walk yang dekat dengan aston dan fave hotel, tempat ini nyaman untuk makan-makan. Kopi campur teh yang baru saja ini saya coba tibanya enak banget, dipadu dengan endog setengah mateng jadi teman jagongan bersama kawan-kawan.Tempat yang terbebas rokokan tambah menyejuk dengan menikmati pemandangan wira-wiri orang-orang yang datang ke mal ini.",0.9216043949127197
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar nama bantuan sosial 2018 rp 44, 9 milyat",0.901872456073761
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,Salah satu conto generasi yang tidak bisa. Tidak malah migunani untuk bangsa tetapi jadi sesuatu yang mbahayakan untuk negara!,0.891919732093811
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore tempat, saat ini lagi dilakukan pemeliharaan jadi aplikasi tidak bisa diakses.",0.9624429941177368
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Tenan ringkih di sini saya juga jadi sedih sekali,0.8698466420173645
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir ke hanamasa harga 120 ribu / orang. Tapi rasa tidak enak, pinter-pinter awakdewe ae mengeracik dewe. Kalau penggemar daging sapi mesti suka datang ke sini",0.8992920517921448
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Kunjungi ke the peak pasti saja terasa jauh dari pusat kota bandung, dan akses yang lumayan bingung dan jalan kecilnya berhenti-henti. Namun anda bisa tidak akan kesasar karena hampir di tiap enggokan ada tanda masuk ke The peak.Tempatnya bagus untuk kalian yang ingin menikmati suasana malam romantis, dengan pemandangan malam kota yang bagus.",0.9451500177383423
