javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Jarak dari hotelku menginap tidak terlalu jauh, hanya berjalan kaki, di sini banyak sekali pilihan makanannya, tempatnya yang luas, dan menyenangkan.",0.9579297304153442
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Ya benar, adiknya sedang menjaga warung.",0.9697135090827942
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,Kangkungnya lumayan tapi udang saus padangnya mengecewakan karena diberi udang yang kopong akhirnya tidak dimakan udangnya dan dikembalikan.,0.9507110714912415
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Berada di Braga City Walk yang satu gedung dengan Aston dan Fave Hotel, tempat ini sangat nyaman untuk nongkrong. Kopi campur teh yang baru-baru ini saya coba rasanya sangat enak, dipadukan dengan telur setengah matang menjadi teman ngobrol dengan teman-teman. Tempat yang bebas asap rokok membuat saya lebih nyaman menikmati pemandangan orang-orang yang keluar masuk mall ini.",0.9447996020317078
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar menerima bantuan sosial 2018 sebesar Rp 44,9 miliar",0.9251630902290344
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"Ini salah satu contoh generasi yang tidak berguna. Tidak hanya tidak berguna bagi bangsa, tetapi malah menjadi sesuatu yang membahayakan bagi bangsa! Lebih baik membuat undang-undang saja.",0.9373505711555481
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore teman, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak bisa diakses.",0.9928263425827026
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Ternyata aku sendiri juga tidak tahu kebenarannya,0.8540835976600647
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir yang hadir jumlahnya 120 ribu orang. Namun puasanya lebih dari itu. Bisa mengambil makanan sepuasnya, namun rasanya tidak menggembirakan, pintar-pintarnya badan sendiri yang meracik sendiri. Bagi penggemar daging sapi pasti senang di sini.",0.9337314367294312
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk menuju ke the peak pasti terasa jauh sekali dari pusat kota Bandung, dan aksesnya yang cukup membingungkan dan jalan kecil yang berliku-liku. Namun kamu tidak akan tersesat karena hampir di setiap belokan ada tanda menuju the peak. Tempatnya sangat bagus untuk kamu yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat indah.",0.9709559082984924
Kebon raya bogor isa didadekne salah siji tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,Kebun Raya Bogor bisa dijadikan salah satu tujuan destinasi wisata.,0.9633209705352783
"The peak panggone ning cedeke lembang, waratan duwur ning bandung sing adem lan panggone sing apik banget nanging dalan ngge moro panggonan iki kelok-kelok banget lan tikungan landep lan curam, ora disarane dingge motoran pas udan-udan lan wengi. Ning the peak ana nggen mangan sing pemandangane kutha bandung sing indah saka nggunung, rega panganane sing larang banget lan ora sumbut.","The peak berlokasi di dekat lembang, dataran tinggi di bandung yang sejuk dan lokasi yang sangat baik namun jalan untuk mencapai tempat ini sangat berkelok disertai tikungan tajam nan curam, tidak disarankan untuk berkendara saat hujan dan malam hari. Di the peak terdapat restoran dengan pemandangan kota bandung yang indah dari perbukitan, harga makanan yang sangat mahal dan sangat tidak sesuai.","Puncaknya terletak di dekat lembang, lebih tinggi dari bandung yang sejuk dan lokasinya sangat bagus namun jalan menuju tempat ini sangat berkelok-kelok dan tikungannya tajam serta curam, tidak disarankan berkendara motor saat hujan dan malam. Di puncak ada tempat makan yang pemandangannya kota bandung yang indah dari atas gunung, harga makanannya sangat mahal dan tidak sepadan.",0.9419085383415222
Aku kapok nganggo jasa lion air,Saya kapok menggunakan jasa lion air,Saya kapok menggunakan jasa Lion Air,0.9496410489082336
Akeh bab sing isa dhewe tindakake kanggo ngisi wektu luwang.,Banyak hal yang dapat kita lakukan untuk mengisi waktu luang.,Banyak hal yang bisa kita lakukan untuk mengisi waktu luang.,0.9965143203735352
Saya apatis ngelaporake bab-bab kaya iki. Amarga nganti minggu wingi isih tetep hurung digarap. Mung janji-janji terus.,Semakin apatis melaporkan hal-hal seperti ini. Karena sampai minggu lalu masih tetap belum dikerjakan. Hanya janji-janji terus.,Saya apatis melaporkan hal-hal seperti ini. Karena sampai minggu lalu masih tetap belum digarap. Hanya janji-janji terus.,0.9727234840393066
Rega dhuwur banget porsi sithik banget ora janji maneh aku teko kanggo kepindho. Panganane ora beda adoh karo emakku dong!,Harga selangit porsi seiprit tidak janji lagi saya datang untuk yang kedua kali. Masakannya tidak beda jauh sama ema saya dong!,"Harganya terlalu mahal porsinya sedikit sekali, tidak akan aku datangi lagi untuk kedua kalinya. Makanannya tidak berbeda jauh dengan masakan ibuku!",0.8968336582183838
"Anyar lan kashediya, 5 sekat mangan awan kotak kotak mangan yooyee kotak bekal anti bocor 590","Baru dan tersedia, 5 sekat makan siang kotak kotak makan yooyee kotak bekal anti bocor 590","Baru dan tersedia, 5 set tempat makan dengan kotak makan, tempat makan yooyee, kotak bekal anti bocor 590",0.9623430371284485
"Ora ngerti ya kenangapa resto iki manggoni ranking 12 saka 1800an resto sing ana ing jakarta. Regane larang! Panggonane ndhelik, lan rasa panganane biasa bae. Aja percaya banget karo review sing nyesatake.","Tidak mengerti ya kenapa resto ini menduduki peringkat 12 dari 1800an resto yang ada di jakarta. Harga mahal! Lokasi tersembunyi, dan rasa makanan biasa saja. Jangan terlalu percaya sama review yang menyesatkanlah.","Tidak mengerti kenapa restoran ini bisa menempati peringkat 12 dari 1800an restoran yang ada di Jakarta. Harganya mahal! Tempatnya tersembunyi, dan rasa makanannya biasa saja. Jangan percaya banget dengan review yang menyesatkan.",0.9537855982780457
Bledosan ning aksi protes ning afghanistan mateni wong 68,Ledakan dalam aksi protes di afghanistan tewaskan 68 orang,Bom bunuh diri dalam aksi protes di Afghanistan tewaskan 68 orang,0.9546551704406738
"Aku teka marang restoran kuwi bareng karo kancaku. Kancaku kakehan kaget ndhelok pemandangane sing apik tenan ing mbengi. Aku ndhuweni kasempatan njajal stik impore, enak tenan apa maneh sause. Mmm yummi. Yen ana kasempatan aku pengen teka maneh marang kana.","Saya berkunjung ke restoran itu bersama dengan teman saya. Teman saya kebanyakan terkejut melihat pemandangannya yang sangat indah di malam hari. Saya berkesempatan mencoba steak impornya, sangat enak apalagi sausnya. Mmm yummi. Kalau ada kesempatan saya ingin berkunjung lagi ke sana.","Aku datang ke restoran itu bersama temanku. Temanku sangat kaget melihat pemandangannya yang sangat indah di malam hari. Aku memiliki kesempatan mencoba stik impor, enak sekali apalagi sausnya. Mmm lezat. Jika ada kesempatan aku ingin datang lagi ke sana.",0.9587358236312866
Akses menyang dusun bambu isa ditekani kira-kira ing wektu 1 - 2 jam nganggo mobil pribadi. Mara menyang dusun bambu diusahakake pas wektu wengi amarga awake dhewe isa ndelok cetha pemandangan sing ana lan wektu sing pas kanggo mangan wengi.,Akses menuju dusun bambu bisa ditempuh kira-kira dalam waktu 1 - 2 jam menggunakan mobil pribadi. Berkunjung ke dusun bambu diusahakan saat petang hari karena kita dapat melihat jelas pemandangan yang ada dan waktu yang pas untuk makan malam.,Akses menuju dusun bambu dapat ditempuh sekitar 1 - 2 jam menggunakan mobil pribadi. Datang menuju dusun bambu disarankan pada waktu sore karena sendiri dapat melihat jelas pemandangan yang ada dan waktu yang tepat untuk makan malam.,0.9587504267692566
"Panganane oke padha karo xo suki liyane. Nanging sanajan dina prei gedhe kaya badha iki udhu artine meseme prei lan pesenan ombe, lan liya-liyane kudu mesen ping akeh. Tulung dijaga kepuasan pelanggane. Matur suwun,","Makanan oke sama seperti xo suki lainnya. Tetapi walaupun hari libur besar seperti lebaran ini bukan berarti senyumnya libur dan order minum, dan lain-lain harus order berkali-kali. Tolong di jaga kepuasan pelanggannya. Terima kasih.","Makanannya enak sama seperti tempat suki lainnya. Namun meskipun hari libur besar seperti hari ini sudah berarti harga libur dan pesanan minuman, dan lain-lain harus dipesan banyak. Tolong dijaga kepuasan pelanggan. Terima kasih.",0.9437228441238403
