javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Dekat dari hotel tempatku menginap, hanya ditempuh dengan berjalan kaki, di sini ada banyak sekali pilihan makanannya, tempatnya luas, dan menyenangkan.",0.9740043878555298
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya benar, dia lagi menjaga warung.",0.9847874641418457
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"Kangkungan cukup bagus tetapi yuyu saus padangnya mengecewakan karena diberi yuyu yang kosong, akhirnya tidak makan yuyunya dan dikembalikan.",0.9307214617729187
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Terletak di Braga City Walk yang satu gedung dengan Aston dan Fave Hotel, tempat ini sangat nyaman untuk nongkrong. Kopi campur teh yang baru pertama kali aku coba ternyata sangat enak, dipadukan dengan telur setengah matang menjadi teman ngobrol bersama teman-teman. Tempat yang bebas rokok semakin menyenangkan sambil menikmati pemandangan orang-orang yang hilir mudik masuk keluar mal ini.",0.9512947201728821
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar menerima bantuan sosial 2018 sebesar Rp 44,9 miliar.",0.922829806804657
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,Ini salah satu contoh generasi yang tidak berguna. Tidak malah bermanfaat untuk bangsa tetapi malah menjadi sesuatu yang membahayakan untuk bangsa! Mantep jebakannya saja membuat uu ite.,0.9635971784591675
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore teman, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak bisa diakses.",0.9928263425827026
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Sungguh lemah sekali ini aku juga takut sebenarnya.,0.9008178114891052
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir di Hanamasa harganya 120 ribu / orang. Namun puasnya lebih dari itu. Bisa mengambil makanan sepuasnya, tetapi rasanya tidak menggiurkan, tergantung kepandaian kita saja meracik sendiri. Bagi penggemar daging sapi pasti senang ke sini.",0.9553064107894897
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk pergi ke the peak tentu saja terasa sangat jauh dari pusat kota Bandung, dan aksesnya yang cukup membingungkan dan jalan kecilnya berkelok-kelok. Namun kamu bisa tidak akan tersesat karena hampir di setiap tikungan ada tanda menuju the peak. Tempatnya sangat bagus untuk kamu yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat indah.",0.9773129820823669
