javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","""Jalan dari hotelnya menginap, tapi membuat jalan, di sini banyak pilihan makanan, tempat yang luas, dan menyenangkan""",0.9301325678825378
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","""Iya benar, sekarang jaga warung.""",0.9157958626747131
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"""Kangkune lumayan tapi saus pedas bikin muntah setelah diberi sambal yang kering ke ujung perut enggak makan sambalnya dan dibuangnya """,0.8756495118141174
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","""Membangun di braga city walk yang sama kota dengan aston dan fave hotel, tempat ini sangat nyaman untuk duduk-duduk. Kopi campur teh yang baru saja dilaunching sangat bagus, dipadukan dengan roti setengah matang jadi pendamping pas untuk pembaca sambil perokok. Tempat yang bebas rokok lebih menyenangkan untuk menikmati pemandangan suasana orang yang masuk ke mal ini.""",0.9282670617103577
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","""Gianyar naik bantuan sosial 2018 sebesar rp 44, 9 milyat""",0.9106792211532593
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"""Ini salah satu contoh generasi yang benar-benar mengabdi untuk bangsa bukan malah menjadi sesuatu yang menjemputuhi bangsa! Mantap kalo bikin uu itu""",0.8986753821372986
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","""Soal teman, waktu ini sedang dilakukan pemeliharaan sehingga aplikasi tidak bisa diakses.""",0.9476734399795532
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,"""Tulus sakit hati kami itu saya juga jujur saja""",0.8587558269500732
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","""Terakhir yang hematnya harga sekitar 120 ribuan per orang. Tapi puas lebih dari itu. Ada soal makanan puasan, tapi rasa tidak mengecewakan, pintar-pintar dulunya deh meraciknya. Kalau penggemar daging sapi pasti senang sama sini""",0.9295821189880371
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","""Untuk sampai ke the peak memang harus kuat hati yang cukup jauh dari pusat kota bandung, dan akses yang cukup membingungkan dan jalanan berkelok-kelok. Namun anda tidak akan salah karena di setiap sudut ada tanda ke the peak. Tempatnya sangat indah untuk anda yang ingin mencari suasana malam romantis, dengan pemandangan malam kota yang sangat bagus sekali.""",0.957643449306488
Kebon raya bogor isa didadekne salah siji tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,"""Kebun raya bogor bisa jadi salah satu destinasi wisata""",0.9643189907073975
