javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Cari dari hotel saya menginap, tapi jalan kaki, di sini banyak sekali pilihan makanannya, tempatnya yang luas, dan menyenangkan",0.9560447931289673
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya benar, mereka sedang menjaga pondok.""",0.9412716031074524
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"Kuyunya lumayan tapi yuyu saus padang mengecewakan kami sendiri jadi makan yuyunya dan dibalikkan.""",0.8983702063560486
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Lokasi di braga city walk yang bersebelahan dengan aston dan fave hotel, tempat ini sangat nyaman untuk bersantai bersama teman-teman. Kopi campur teh yang baru saja diminumnya sangat enak, ditambah dengan pengaruh setengah matang jadi teman obrolan bersama teman-teman. Tempat yang bebas rokok ditambah menyenangkan dengan menikmati pemandangan orang-orang yang masuk keluar mal ini.""",0.939125120639801
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","""Tambah baiknya bantuan sosial 2018 penuh rp 44, 9 milyat""",0.8796623349189758
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,Ini salah satu cerita generasi yang tidak untuk. Tidak malah mumbar untuk bangsa tapi malah jadi sesuatu yang merusak untuk bangsa! Mantap jeratnya saja bikin uu ini,0.9389181137084961
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Siang siang, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak bisa diakses.",0.9606424570083618
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Sangat sedih kami ini saya juga merasa seperti itu,0.8974381685256958
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","""Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puas lebih dari itu. Bisa pakai makanan seporsi, tapi rasa tidak mengecewakan, pintar-pintar kita saja nih racik sendiri. Kalau penggemar daging sapi harus suka di sini.",0.9646310210227966
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk menuju ke the peak selalu saja jarak yang cukup jauh dari pusat kota bandung, dan akses yang agak membingungkan serta jalan menuju ke sana. Namun anda tidak akan tersesat karena hampir di setiap persimpangan ada tanda yang menunjukkan ke the peak. Tempatnya bagus sekali buat anda yang mencari suasana malam hari romantis, dengan pemandangan malam kota yang sangat indah.",0.9596496820449829
Kebon raya bogor isa didadekne salah siji tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,Kebon raya bogor bisa dijadikan salah satu tujuan destinasi wisata,0.9870696067810059
"The peak panggone ning cedeke lembang, waratan duwur ning bandung sing adem lan panggone sing apik banget nanging dalan ngge moro panggonan iki kelok-kelok banget lan tikungan landep lan curam, ora disarane dingge motoran pas udan-udan lan wengi. Ning the peak ana nggen mangan sing pemandangane kutha bandung sing indah saka nggunung, rega panganane sing larang banget lan ora sumbut.","The peak berlokasi di dekat lembang, dataran tinggi di bandung yang sejuk dan lokasi yang sangat baik namun jalan untuk mencapai tempat ini sangat berkelok disertai tikungan tajam nan curam, tidak disarankan untuk berkendara saat hujan dan malam hari. Di the peak terdapat restoran dengan pemandangan kota bandung yang indah dari perbukitan, harga makanan yang sangat mahal dan sangat tidak sesuai.","""The peak tempatnya di dekat lembah, meskipun rumah jauh di bandung yang dingin dan tempat yang bagus banget tapi jalan menuju ke tempat ini kelihatannya berbahaya sekali dan pemanjatan landak dan curam, tidak recommended buat motoran pas hujan-hujan dan malam. Namun the peak ada anak-anak makan yang pemandangannya kota bandung yang indah dari gunung, harga makanan yang mahal sekali dan tidak cocok.""",0.9209817051887512
Aku kapok nganggo jasa lion air,Saya kapok menggunakan jasa lion air,Aku terjebak menggunakan jasa lion air,0.9343556761741638
Akeh bab sing isa dhewe tindakake kanggo ngisi wektu luwang.,Banyak hal yang dapat kita lakukan untuk mengisi waktu luang.,Banyak hal yang bisa kita lakukan untuk mengisi waktu luang.,0.9965143203735352
Saya apatis ngelaporake bab-bab kaya iki. Amarga nganti minggu wingi isih tetep hurung digarap. Mung janji-janji terus.,Semakin apatis melaporkan hal-hal seperti ini. Karena sampai minggu lalu masih tetap belum dikerjakan. Hanya janji-janji terus.,"Saya apatis melaporkan hal-hal seperti ini. Karena sampai minggu kemarin masih belum diimplementasikan. Cuma janji-janji terus.""",0.9612916707992554
Rega dhuwur banget porsi sithik banget ora janji maneh aku teko kanggo kepindho. Panganane ora beda adoh karo emakku dong!,Harga selangit porsi seiprit tidak janji lagi saya datang untuk yang kedua kali. Masakannya tidak beda jauh sama ema saya dong!,Harga naik banget porsi sedikit banget tidak menjanjikan lagi saya datang buat kepindhan. Makanan tidak beda jauh sama ibu saya dong!』,0.904116153717041
"Anyar lan kashediya, 5 sekat mangan awan kotak kotak mangan yooyee kotak bekal anti bocor 590","Baru dan tersedia, 5 sekat makan siang kotak kotak makan yooyee kotak bekal anti bocor 590","Baru dan tertekan, 5 segit arang kotak kotak makan yoooyee kotak bekal anti bocor 590",0.9309254884719849
"Ora ngerti ya kenangapa resto iki manggoni ranking 12 saka 1800an resto sing ana ing jakarta. Regane larang! Panggonane ndhelik, lan rasa panganane biasa bae. Aja percaya banget karo review sing nyesatake.","Tidak mengerti ya kenapa resto ini menduduki peringkat 12 dari 1800an resto yang ada di jakarta. Harga mahal! Lokasi tersembunyi, dan rasa makanan biasa saja. Jangan terlalu percaya sama review yang menyesatkanlah.","Tidak tahu ya kenapa resto ini menduduki ranking 12 dari 1800an resto yang ada di jakarta. Harganya mahal! Tempatnya luas, dan rasa makanannya biasa saja. Jangan percaya banget dengan review yang menyesatkan.",0.9650460481643677
Bledosan ning aksi protes ning afghanistan mateni wong 68,Ledakan dalam aksi protes di afghanistan tewaskan 68 orang,"Bledosan dalam aksi protes di afghanistan mematikan orang 68""",0.9203565120697021
"Aku teka marang restoran kuwi bareng karo kancaku. Kancaku kakehan kaget ndhelok pemandangane sing apik tenan ing mbengi. Aku ndhuweni kasempatan njajal stik impore, enak tenan apa maneh sause. Mmm yummi. Yen ana kasempatan aku pengen teka maneh marang kana.","Saya berkunjung ke restoran itu bersama dengan teman saya. Teman saya kebanyakan terkejut melihat pemandangannya yang sangat indah di malam hari. Saya berkesempatan mencoba steak impornya, sangat enak apalagi sausnya. Mmm yummi. Kalau ada kesempatan saya ingin berkunjung lagi ke sana.","Saya datang ke restoran itu bersama dengan temanku. Temanku terlalu kaget melihat pemandangan yang indah sekali di malam hari. Saya punya kesempatan mencoba stick impornya, enak sekali apalagi sausnya. Mmm yummi. Kalau ada kesempatan saya ingin datang lagi ke sana.",0.96543288230896
Akses menyang dusun bambu isa ditekani kira-kira ing wektu 1 - 2 jam nganggo mobil pribadi. Mara menyang dusun bambu diusahakake pas wektu wengi amarga awake dhewe isa ndelok cetha pemandangan sing ana lan wektu sing pas kanggo mangan wengi.,Akses menuju dusun bambu bisa ditempuh kira-kira dalam waktu 1 - 2 jam menggunakan mobil pribadi. Berkunjung ke dusun bambu diusahakan saat petang hari karena kita dapat melihat jelas pemandangan yang ada dan waktu yang pas untuk makan malam.,Akses ke dusun bambu bisa dibilang sekitar 1 - 2 jam menggunakan mobil pribadi. Jelajahi dusun bambu saat waktu malam karena kita bisa melihat keindahan pemandangan yang ada dan waktu yang tepat untuk makan malam.,0.9500096440315247
"Panganane oke padha karo xo suki liyane. Nanging sanajan dina prei gedhe kaya badha iki udhu artine meseme prei lan pesenan ombe, lan liya-liyane kudu mesen ping akeh. Tulung dijaga kepuasan pelanggane. Matur suwun,","Makanan oke sama seperti xo suki lainnya. Tetapi walaupun hari libur besar seperti lebaran ini bukan berarti senyumnya libur dan order minum, dan lain-lain harus order berkali-kali. Tolong di jaga kepuasan pelanggannya. Terima kasih.","Makanannya oke sama dengan xo suki lainya. Tapi meskipun hari raya besar seperti ini datangnya maha suki dan pemesanan minum, dan lain-lain harus memesan beberapa kali. Tolong dijaga kepuasan pelanggan. Terima kasih,""",0.9412015080451965
"Restoran iki yaiku panggon kuliner sing wajib diparani umpama nyang bandung. Ora mung panganane sing manjakne ilat panganan sunda banget, restoran iki uga dibangun nganggo konsep mangan santai ning jero kali dadi nawarne pengalaman kuliner sing berkesan banget. Kudu dijajal dinggo sopo ae sing nyang bandung.","Restoran ini adalah sebuah destinasi kuliner yang wajib dikunjungi bila ke bandung. Selain makanan yang sangat memanjakan lidah makanan sunda, restoran ini juga dibangun dengan konsep makan santai di dalam saung yang dikelilingi alam hutan dan pegunungan yang dihias pepohonan rindang dan dihibur oleh gemericik air sungai sehingga menawarkan pengalaman kuliner yang teramat mengesankan. Harus dicoba bagi siapapun yang ke bandung.","Restoran ini merupakan tempat kuliner yang wajib dikunjungi sekaligus menyantap makanan sundanah sekali, restoran ini juga dibangun dengan konsep makan santai di tepi sungai sehingga menciptakan pengalaman kuliner yang berkesan sekali. Harus dicoba bagi siapa saja yang ke bandung.",0.9131847023963928
Mbalik ngaktifne paket data indosat merga isa akses youtube unlimited.,Kembali mengaktifkan paket data indosat karena dapat akses youtube unlimited.,"Balik mengaktifkan paket data indosat karena bisa akses youtube unlimited.""",0.9647751450538635
Aku nembe ngerti ketemu kancaku sek makarya nang trans tv,Saya baru saja bertemu teman saya yang bekerja di trans tv,Saya baru tahu bertemu temanku yang dulu berkarya di trans tv,0.9490732550621033
"Omah mangan ning dalan anggrek iki nduwe keistimewaan jenis seafood sing rena-rena lan ana sing isih urip dinggo dipilih lan dimasak pas kuwi uga. Rena-rena jenis panganan isa dipilih lan wektu ngenteni sing sediluk nggarai adewe ora tek kesuwen keluwen ngenteni. Menu kerapu kukuse enak banget lan gurih, apa meneh lak dimasak karo iwak sing isih seger. Lokasine lumayan adem, regane mirah.","Rumah makan di jalan anggrek ini memiliki keistimewaan jenis seafood yang beragam dan ada yang masih hidup untuk dipilih dan dimasak saat itu juga. Berbagai jenis masakan dapat dipilih dan waktu tunggu yang singkat membuat kita tidak terlalu lama kelaparan menunggu. Menu kerapu kukusnya sangat enak dan gurih, apalagi bila dimasak dengan ikan yang masih segar. Lokasi cukup sejuk, harga murah.","""Rumah makan di jalan anggrek ini memiliki keistimewaan jenis seafood yang beragam dan ada yang masih hidup untuk dipilih dan dimasak sesuai itu juga. Berbagai jenis makanan dapat dipilih dan waktu menunggu yang cukup menyita perhatian membuat kita tidak terasa bore. Menu kerang kuisnya sangat enak dan gurih, apalagi jika dimasak dengan ikan yang masih segar. Lokasi agak dingin, harganya terjangkau.""",0.9628387093544006
"Kaya biasane awakdewe mesti golek kuliner sing liya timbangane sing liyane, awakdewe entuk ning panggen iki yaiku the restaurant padma hotel. Awakdewe pesen menu sing ana. Ana saka indonesia, eropa lan cina, tibake kabeh masakane enak kabeh.","Seperti biasa kami selalu mencari kuliner yang lain daripada yang lain, dapatlah kami di tempat ini yaitu the restaurant padma hotel. Kami memesan menu yang ada. Ada dari indonesia, eropa dan chinese, ternyata semua masakannya enak semuanya.","Seperti biasanya kami selalu mencari kuliner yang lain daripada yang lain, kami mendapat di the restaurant padma hotel. Kami pesan menu yang ada. Ada dari indonesia, eropa dan china, ternyata semua masakannya enak semuanya.",0.9727792739868164
Iya kuwi sing nggawe aku kesel. Iki udu salahe sing ngelamar nanging jelas 100% salahe pihak sing ana ing ndhuwur sing embuh piye carane dheweke koordinasi. Nyesek aku kuwi sanajan iki kasus kancaku sing ing lampung.,Iya itu yang bikin saya kesal. Ini bukan kesalahan sang pelamar tapi jelas 100% kesalahan pihak yang di atas yang entah bagaimana cara mereka berkordinasi. Nyesek saya itu walaupun ini kasus teman saya yang di lampung.,Iya itu yang bikin aku marah. Ini bukan kesalahan pihak yang di atas tapi jelas 100% kesalahan pihak yang berikan di atas yang di kehancuran pilihannya di kalah kenapa carane mereka koordinasi. Menyesal gue itu walaupun ini kasus pribadi yang di atas tapi jelas 100% kesalahan pihak yang di atas yang di kehancuran,0.9121366739273071
"Pelayanane cukup suwi, nanging suwasanane sing diwenehi apik lan unik, dadi karo ngenteni panganan isa nikmati suwasana ing restoran iki, menu sing disajikake aneka werna lan enak,","Pelayanannya agak lama, tetapi suasana yang diberikan keren dan unik, jadi sambil menunggu makanan bisa menikmati suasana di resto ini, menu yang disajikan beragam dan enak,","Pelayanan cukup lama, tetapi suasana yang diberikan sangat bagus dan unik, sehingga dengan menunggu makanan bisa menikmati suasana di restoran ini, menu yang disajikan berbagai macam dan enak,""",0.9707087874412537
"Panganan ing kene enak-enak kanthi akeh variasine. Kabehane enak kanthi pemandangan apik. Pelayanane sing maksimal saka mbak diah lan gina saka ngewiwiti teka nganti rampung, dilayani kanthi apik tenan.","Makanan di sini enak-enak dengan banyak variasi. Semuanya enak dengan pemandangan bagus. Pelayanan yang maksimal dari mbak diah dan gina dari awal datang sampai selesai, dilayani dengan sangat baik.","Makanan di sini enak-enak dengan banyak variasi. Semua enak dengan pemandangan bagus. Pelayanan yang maksimal dari mbak dan gina dari mulai masuk sampai selesai, di melayani dengan baik sekali.",0.9726030826568604
"Ana ing ajang piala dunia 2018 sesuk, telkomsel njupuk bagian minangka pandukung penyiaran resmi ing perhelatan sepak bola donya kasebut.","Dalam ajang piala dunia 2018 nanti, telkomsel mengambil bagian sebagai pendukung penyiaran resmi dalam perhelatan sepak bola dunia tersebut.","Secara resmi, telkomsel menjajal bagian sebagai pendamping penyiaran pada perhelatan sepak bola dunia tersebut.",0.943313717842102
De'e biasane tuku tisu paseo,Dia biasanya membeli tisu paseo,"""Dia biasanya membeli tisu buah""",0.8936389088630676
"Buse ora nyaman, mbak, ora sumbut karo sing diomongne bosmu, urung maneh panganane kurang enak banget, terus panggon wisata tujuane sing nggelakne:","Busnya tidak nyaman, mbak, tidak sesuai dengan yang diomongin atasan Anda, belum lagi makanannya kurang enak banget, lalu tempat wisata tujuannya yang mengecewakan:","Busen tidak nyaman, mbak, tidak sesuai dengan yang diomongkan bos kamu, belum lagi makannya kurang enak banget, terus tempat wisata tujuannya yang mengejutkan:",0.9603332877159119
"Cukup gampang golek lokasi iki, mung ngikuti wae arah menyang tengah kota. Mengko ning kiwa dalan ketok parkiran mobil sing cukup akeh, nengkono panggonan kafe iki. Rasane kafe iki pancen arang sepi, pengunjunge akeh banget.","Cukup mudah mencari lokasi ini, tinggal mengikuti saja arah ke tengah kota. Nanti di kiri jalan terlihat parkiran mobil yang cukup banyak, disitulah tempat kafe ini. Rasanya kafe ini memang jarang sepi, banyak sekali pengunjung.","Cukup mudah menemukan lokasi ini, hanya mengikuti saja arah ke tengah kota. Ditambah lagi tersedia banyak parkir mobil yang cukup luas, di sana terletak tempat kafe ini. Rasanya kafe ini memang agak sepi, pengunjungnya hampir seluruhnya asing.",0.9504348635673523
"Gela aku karo provider iki, nganti sebel, nesu, emosi, aku metu, gara gara, sinyal sing ora bener.","Kecewa saya dengan provider ini, sampai kesal, marah, emosi, saya keluar, gara gara, sinyal yang tidak benar.","Kecewa saya dengan provider ini, sampai sakit, marah, emosi, saya keluar, karena gara-gara, sinyal yang tidak benar.""",0.9745644927024841
"Sarung bantal, seprei lan slimute uwis ora putih...terus temboke wes akeh lumut..","Sarung bantal, seprai dan selimutnya tidak lagi putih...trus dindingnya sudah banyak lumut..","""Serigala, seprai dan selimutnya sudah tidak putih...terus datang ya amau banyak lumut..",0.9302386045455933
"Lan pas dheweke teka, saya rusak wae iki acara. Gilo banget aku karo dheweke, asli! Ngapuro yoo aku ora seneng banget karo dheweke","Dan ketika dia tiba, makin rusak saja ini acara. Jijik banget gue sama dia, asli! Maaf yaah gue enggak suka banget sama dia","""Dan saat dia datang, saya ternyata salah saja ini acara. Menyesal sekali saya sama dia, asli! Mencoba lagi ya saya tidak suka sekali sama dia""",0.9240606427192688
"Dhewe ana acara mangan mbengi wektu kuwi, es krime ora dipisah karo espresso dadi ora isa nyampur sing cocok karo selerane awakedhewe. Salmon steake uga kurang seger, kulit salmone atos, ketoke suwi ing kulkas utawa freezer. Sanajan iku menu utama sing kudune enak.","Kami ada acara makan malam waktu itu, ice krimnya tidak dipisahkan dengan espresso jadi tidak bisa mencampur sesuai selera masing-masing. Salmon steaknya juga kurang segar, kulit salmonnya keras, keliatannya lama di kulkas atau freezer. Padahal itu menu utama yang seharusnya enak.","Kami ada acara makan malam waktu itu, es krime tidak dipisahkan sama espresso jadi tidak bisa mencampur yang cocok dengan selera kita. Salmon steaknya juga kurang segar, kulit salmonnya keras, sepertinya lama di kulkas atau freezer. Meskipun itu menu utama yang harus enak.",0.9697978496551514
"Panggonane gampang ditemukake. Resik lan higienis, pelayanane apik, dhewe bisa diskusi babagan panganan kang kasadia. Asik.","Tempatnya mudah ditemukan. Bersih dan higienis, pelayanannya bagus, kita bisa diskusi tentang masakan yang tersedia. Asik.","Tempatnya mudah ditemukan. Bersih dan higienis, pelayanan baik, kita bisa diskusi tentang makanan yang terasa. Asik.""",0.9790683388710022
