javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Jauh dari hotelku menginap, namun dibawa jalan, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan",0.9538288116455078
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Ya benar, mereka sedang menjaga warung.",0.9743066430091858
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,Kangkungnya lumayan tapi yuyu saus padangnya bikin kita kecewa dengan yuyu yang kosong akhir kita tidak makan yuyune dan dibuangkan.,0.9108670949935913
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Berada di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman untuk bersantai-santai. Kopi campur teh yang baru saja coba saya sangat enak, dipadukan dengan pisang setengah matang menjadi teman ngobrol dengan teman-teman. Tempat yang bebas rokokan semakin menyenangkan dengan menikmati pemandangan orang-orang yang masuk keluar mal ini.",0.9511600732803345
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar menerima bantuan sosial 2018 sebesar rp 44, 9 milyar",0.9854583740234375
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat bagi bangsa tapi malah menjadi sesuatu yang berbahaya bagi bangsa! Mantap jeratnya saja bikin uu ite,0.9822568893432617
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore teman, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.",0.9950917959213257
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Sangat menyesal saya ini saya juga jengkel sebenarnya,0.9065219163894653
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi makanannya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasanya tidak menggoda, pintar-pintar saja kita racik sendiri. Kalau penggemar daging sapi pasti suka di sini",0.976064145565033
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk menuju ke the peak memang selalu terasa jauh banget dari pusat kota bandung, dan akses yang lumayan membingungkan dan jalan berkelok-kelok. Tapi kamu tidak akan tersesat karena hampir di setiap tumpukan ada tanda menuju ke the peak. Tempatnya sangat bagus buat kamu yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat indah.",0.9788317680358887
