javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Tinggalkan hotel tempat saya menginap, hanya perlu berjalan kaki, di sini banyak pilihan makannya, tempatnya luas, dan menyenangkan",0.9510379433631897
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Ya benar, sedang menjaga warung.",0.969784140586853
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"Bungkusnya lumayan tetapi yuyu saus padang mengecewakan karena diberi yuyu yang kosong, akhirnya sendiri tidak makan yuyunya dan dikembalikan.",0.9228818416595459
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Tinggal di Braga City Walk yang dalam satu gedung bersama Aston dan Fave Hotel, tempat ini sangat nyaman untuk nongkrong. Kopi campur teh yang baru dan sangat lezat ini saya coba dan rasanya sangat enak, dipadukan dengan telur setengah matang menjadi teman jagongan bersama teman-teman. Tempat yang bebas rokok ini semakin menyenangkan sambil menikmati pemandangan keramaian orang-orang yang masuk dan keluar mal ini.",0.9365147352218628
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar menerima bantuan sosial 2018 sebesar Rp44,9 miliar",0.9183071851730347
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,Ini adalah salah satu contoh generasi yang tidak berguna. Tidak berguna bagi bangsa malah menjadi sesuatu yang membahayakan bagi bangsa! Lebih baik serius membuat undang-undang yang tepat.,0.9289229512214661
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Selamat sore teman, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.",0.9756807684898376
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,"Memang lemah sendiri, aku juga rapuh sebenarnya.",0.9200049638748169
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir pergi ke Hanamasa harganya 120 ribu per orang. Namun kepuasannya lebih dari itu. Bisa mengambil makanan sambil menikmati puasnya, tetapi rasanya tidak memuaskan. Sebaiknya kita sendiri yang meraciknya. Kalau penggemar daging sapi pasti senang di sini.",0.930877149105072
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk menuju ke The Peak tentu saja terasa sangat jauh dari pusat kota Bandung, dengan akses yang cukup membingungkan dan jalanan kecil yang berbelok-belok. Namun kamu mungkin tidak akan tersesat karena hampir di setiap tikungan ada petunjuk menuju The Peak. Lokasinya sangat cocok untuk kamu yang mencari suasana malam yang romantis, dengan pemandangan malam kota yang sangat indah.",0.9611183404922485
