javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Dekat dari hotel tempat saya menginap, hanya perlu berjalan kaki, di sini banyak sekali pilihan makanannya, tempatnya luas, dan menyenangkan.",0.9726324677467346
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya benar, dia lagi menjaga warung.",0.9847874641418457
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan sekali, diberi kepiting yang kosong. Akhirnya saya tidak makan kepitingnya dan dikembalikan.",0.9656140208244324
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Terletak di Braga City Walk yang satu gedung dengan Aston dan Fave Hotel, tempat ini nyaman sekali untuk nongkrong. Kopi campur teh yang baru pertama kali ini aku coba ternyata enak sekali, dipadu dengan telur setengah matang jadi teman ngobrol bersama teman-teman. Tempat yang bebas rokokan tambah menyenangkan sambil menikmati pemandangan lalu lalang orang-orang yang masuk keluar mal ini.",0.9500252604484558
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar menerima bantuan sosial tahun 2018 sebesar Rp 44,9 miliar.",0.914333164691925
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"Ini salah satu contoh generasi yang tidak berguna. Tidak malah berguna bagi bangsa, tetapi malah menjadi sesuatu yang membahayakan bagi bangsa! Mantap jerat saja pakai UU ITE.",0.9674587249755859
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Maaf teman-teman, saat ini sedang dilakukan pemeliharaan jadi aplikasi tidak bisa diakses.",0.955739438533783
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,"Sungguh lemah diri ini, aku juga sungguh-sungguh merasa jemu.",0.8629234433174133
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir ke Hanamasa harganya 120 ribu per orang. Tapi puasnya lebih dari itu. Bisa mengambil makanan sepuasnya, tapi rasanya tidak membosankan, pintar-pintarnya kita saja meracik sendiri. Kalau penggemar daging sapi pasti senang ke sini.",0.9723963737487793
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk menuju ke The Peak, tentu saja terasa sangat jauh dari pusat kota Bandung, dan aksesnya lumayan membingungkan serta jalannya kecil dan berkelok-kelok. Namun, kamu tidak akan tersesat karena hampir di setiap belokan ada tanda menuju The Peak. Tempatnya sangat cocok untuk kamu yang mencari suasana malam romantis, dengan pemandangan malam kota yang indah.",0.9680036306381226
