javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Dekat dari hotel saya menginap, cuma harus berjalan kaki, di sini sangat banyak pilihan makanan, tempat yang luas, dan menyenangkan",0.9688435792922974
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya betul, dia lagi jaga warung.",0.9748421907424927
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,Ayamnya lumayan tapi udang saus padangnya mengecewakan kami dikasih udang yang kosong pada akhirnya kami tidak memakan udangnya dan mengembalikannya.,0.9411928057670593
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Berada di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat nongkrong-nongkrong. Kopi campur teh yang baru pertama kali saya coba ternyata sangat enak, dipadukan dengan telur setengah matang jadi teman ngobrol bersama teman-teman. Tempat yang bebas merokok semakin menyenangkan sambil menikmati pemandangan keluar masuk orang yang berada di mal ini.",0.9625507593154907
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar",1.0000001192092896
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah berguna untuk bangsa tapi malah jadi sesuatu yang membahayakan untuk bangsa! Mantap menjatuhkan saja pakai uu saja,0.9683085083961487
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore teman, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.",0.9950917959213257
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Memang lemah sih aku juga jidad sebenarnyai,0.8817969560623169
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir ke hanamasa harganya 120 ribu / orang. Namun puas lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintarnya kita saja mengombinasikannya. Kalau penggemar daging sapi pasti senang ke sini",0.9823145270347595
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk menuju ke the peak memang agak jauh dari pusat kota bandung, dan aksesnya yang sedikit membingungkan dan jalan kecil berliku. Tetapi anda tidak akan tersesat karena di setiap pertigaan terdapat tanda menuju the peak. Tempat yang sangat bagus buat anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat indah.",0.9668184518814087
