javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Sarapan dari hotelku, tapi digawa jalan-jalan, di sini banyak sekali pilihan makanannya, tempatnya yang luas, dan nyaman. 
",0.9327313899993896
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya benar, adik lagi menjaga warung. 
",0.9699307680130005
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"Kamu cukup makan, tapi sausnya terlalu pedas sehingga kamu sendiri yang membuatnya pedas, akhirnya kamu tidak makan ikannya dan dibuang. 
",0.8791303634643555
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Berada di kota Braga, tempat ini nyaman untuk bersantai. Kopi campur teh yang baru ini enak sekali, aku coba dan rasanya enak banget, dipadukan dengan telur setengah matang menjadi teman ngobrol dengan teman-teman. Tempat yang bebas rokok semakin menyenangkan sambil menikmati pemandangan orang-orang yang datang dan pergi di sini. 


",0.9102488160133362
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar menerima bantuan sosial tahun 2018 sebesar Rp 44,9 miliar. 
",0.914333164691925
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"Ini salah satu contoh generasi yang tidak berguna. Bahkan tidak bermanfaat bagi bangsa, melainkan menjadi sesuatu yang berbahaya bagi bangsa! Tepat sekali membuat undang-undang ini. 
",0.9290594458580017
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore teman, saat ini aplikasi sedang dalam proses pemeliharaan sehingga tidak dapat diakses. 
",0.9779347777366638
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,"Betul sekali, aku juga sangat takut. 
",0.8685197830200195
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhirnya yang hanamasa regane 120 ribu/orang. Tapi puas lebih dari itu. Bisa mengambil makanan secukupnya, tapi rasanya tidak mengenyangkan, pintar-pintarlah diri sendiri untuk meracik sendiri.  Para penggemar daging sapi pasti senang dengan ini. 
",0.9296745657920837
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk menuju ke puncak pasti akan merasakan jauh banget dari pusat kota Bandung, dan aksesnya yang cukup membingungkan dan jalan cilike mebelak-mbelok. Tapi kamu tidak akan tersesat karena hampir di setiap persimpangan ada tanda menuju ke puncak. Tempat ini sangat bagus untuk kamu yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat indah. 
",0.9494349360466003
