source_text,target_text
Translate Javanese to Indonesian: Nikmatono cicilan 0% sampek 12 sasi dinggo pesen tiket kapal air asia nganggo kertu kredit bni!,Nikmati cicilan 0% hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni!
"Translate Javanese to Indonesian: Roti-roti sing disajekne nggarai aku nostalgianan. Kabeh model roti jaman biyen, saka tampilane utawa rasa. Rotine enak lan regane uga mirah.","Kue-kue yang disajikan bikin saya bernostalgia. Semuanya tipikal kue zaman dulu, baik dari penampilan maupun rasa. Kuenya enak dan harganya juga murah."
Translate Javanese to Indonesian: Ibu uwis tahu kerja ing grab indonesia,Ibu pernah bekerja di grab indonesia
"Translate Javanese to Indonesian: Paling seneng banget mangan awan ing kene pithik karo sambele enak banget regane luwar biasa hemat, rasa pithike ngeresep nganti tekan balunge, es lidah buayane uga seger marakna adem wetenge sakbanjure mangan sambel sing pedes, pelayanane sigap lan grapyak, sing aku seneng ing panggon kasir ana tulisan 10% disumbangake kanggo amal, kanggo mangan dadi luwih enak ing weteng","Paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat, rasa ayamnya meresap sampai ketulangnya, es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas, pelayannya sigap dan ramah, yang aku suka di tempat kasir ada tulisan 10% disumbangkan untuk beramal, buat makan jadi lebih enak ke perut"
Translate Javanese to Indonesian: Pelayanane bis DAMRI apik banget.,Pelayanan bus DAMRI sangat baik
Translate Javanese to Indonesian: Arep nggawe postingan sing isine ngedukasi pelanggan gojek.,Mau bikin postingan yang isinya mengedukasi customers gojek.
Translate Javanese to Indonesian: Atusan omah ing medan kebanjiran,Ratusan rumah di medan terendam banjir
"Translate Javanese to Indonesian: Barange lumayan, mung sung aku gumun xiaomi redmi note 2 iki tombol uripe tenan rada rusak? Banjur bateraine tenan cepet entek juragan?","Barangnya lumayan, cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak? Terus baterai memang cepat low bat juragan?"
Translate Javanese to Indonesian: Angel banget mercoyoi wong sing wis tau khianat,Sulit sekali mempercayai orang yang sudah pernah berkhianat
"Translate Javanese to Indonesian: Panggonan di gombel karo pemandangan semarang, tekao bengi merga lampu kutha bakale ketok, panganane enak steak lan teh anget menu wajib ning kene, njupuk spot ning jaba merga udara anyep lan sejuk","Lokasi di gombel dengan pemandangan semarang, datanglah malam karena lampu kota akan terlihat, makanan enak steak dan teh hangat menu wajib di sini, ambil spot di luar karena udara dingin dan sejuk"
"Translate Javanese to Indonesian: Wektu kuwi mara mrene pesen sega goreng karo kentang goreng, sega gorenge kabehane seneng, Kentang gorenge enak tenan, lan dhelokane apik. Keluarga ngomong yen kopine enak. Babagan paling apik nang kene yaiku panggonane jembar lan sek nang njaba iso ndhelok pemandangan dusun pring, nanging pelayanane ora cepet dadi aku kudu takon kaping pirang-pirang babagan pesenanku. Regane cukup larang, nanging amarga panganane enak kabeh dadi kabayar. Ora kudhu mikir ping pindho yen pengen mara panggonan iki maneh.","Waktu itu ke sini pesan nasi goreng dan kentang goreng, nasi gorengnya semua suka. Kentang gorengnya enak banget, dan presentasinya bagus. Keluarga bilang kopinya enak. Hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu, tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya cukup mahal, namun karena makanannya enak semua jadi terbayarkan. Tidak perlu pikir dua kali jika mau ke tempat ini lagi."
"Translate Javanese to Indonesian: Sega goreng thailand ning rega 35 ewu, polos, mung ana suwir pithik sethithik. Panganan laute ora ana.","Nasi goreng thailand di harga 35 ribu, polos, hanya ada suir ayam sedikit. Seafoodnya tidak ada."
"Translate Javanese to Indonesian: Kaya sing awakdewe eruh, brownies sing asli saka amerika iku roti bantat sing pancene wernane cokelat. Toko amanda ngreasikne browies karo masake carane dikukus. Brownies kukus iki jan blas ora banget. Teksture malah podo karo bolu biasa. Dadi menurutku, iki uduk brownies.","Seperti yang kita tahu, brownies yang asli dari amerika adalah kue bantat yang memang berwarna cokelat. Toko amanda mengkreasikan brownies dengan memasaknya secara mengukus. Brownies kukus ini sama sekali nggak banget. Teksturnya malah sama dengan bolu biasa. Jadi menurut saya, ini bukan brownies."
"Translate Javanese to Indonesian: Yen teka marang restoran iki cocok banget pas sore lan mbengi, nggawa pasangan kanggo nikmati mangan mbengi sing romantis lan pemandangan sing nakjubake banget","Jika datang ke restoran ini sangat cocok pada sore dan malam hari, membawa pasangan untuk menikmati makan malam yang romantis dan pemandangan yang sangat menakjubkan"
"Translate Javanese to Indonesian: Pengalaman kapisan cukup ngesanke merga cukup kaget tibake bar mari pesen panganan, salah siji staf menehi godong gedang ning mejaku uduk piring utawa sendok, dadi lak mangan ning kene siapo dingge mangan nggawe tangan merga awakdewe bakale ngrasakne sensasi sing unik ditambah alas mangane godong gedang.","Pengalaman pertama cukup mengesankan karena cukup kaget ternyata setelah selesai memesan makanan, salah satu staf memberikan daun pisang ke meja saya bukan piring atau sendok, jadi jika makan di sini bersiaplah untuk makan menggunakan tangan karena kita akan merasakan sensasi yang unik ditambah alas makannya daun pisang."
Translate Javanese to Indonesian: Salah sijine area kuliner sing cukup ngunggah salira. Nanging dadi bingung uga milihe. Akhire aku njajal kerak telur lan mi kocok karo ngrungokake pertunjukan musik kanthi lagu-lagu nostalgia kulon. Cukup direkomendasikake.,Salah satu area kuliner yang cukup menggugah selera. Namun jadi bingung juga milihnya. Akhirnya ku coba kerak telur dan mie kocok sembari mendengarkan pertunjukan musik dengan lagu-lagu nostalgia barat. Cukup direkomendasikan.
Translate Javanese to Indonesian: Kanggo njamin ibu isa teka marang kantor cab bank mandiri kasebut ing dina lan jam kerja kanggo ijol dhuwit.,Untuk memastikannya ibu bisa datang ke kantor cab bank mandiri tersebut pada hari dan jam kerja untuk penukaran uang.
"Translate Javanese to Indonesian: Numpak sepur jayabaya malang - jakarta mandek ing gubeng, tiket 35 ewu ditambah asuransi 6 ewu lewat traveloka","Naik kereta jayabaya malang - jakarta berhenti di gubeng, tiket 35 ribu plus asuransi 6 ribu via traveloka"
Translate Javanese to Indonesian: Dpr menehi apresiasi saka melune wong wedok ning pilkada 2018.,Dpr memberi apresiasi atas keikutsertaan perempuan pada pilkada 2018.
"Translate Javanese to Indonesian: Aku teka kanggo mangan mbengi bareng kaluwarga. Iki kapisan aku marang rene. Kondisine ora patia rame. Kanggo interior, agak reged miturutku. Anane remukan bekas panganan ing jogan lan meja, kayane ora diresiki kanthi sampurna. Kanggo rasa panganan, standar, ora patia istimewa.","Saya datang untuk makan malam bersama keluarga. Ini pertama kali saya ke sini. Kondisi tidak terlalu ramai. Untuk interior, agak kotor menurut saya. Adanya remah-remah bekas makanan di lantai dan meja, sepertinya tidak dibersihkan secara sempurna. Untuk rasa makanan, standar, tidak terlalu istimewa."
"Translate Javanese to Indonesian: Tulung ngomong marang anggota dewan aja lali revisi perppu ormas lan elingna janjine yen perppu ora direvisi, aneka werna elemen masyarakat bakal ngetokake sikap.","Tolong bilang ke anggota dewan jangan lupa revisi perppu ormas dan ingatkan janjinya kalau perppu tidak direvisi, berbagai elemen masyarakat akan mengeluarkan sikap."
Translate Javanese to Indonesian: Kripik budin kuwi camilan paling enak lan pas kanggo ngancani wektu nugas,Keripik singkong itu makanan ringan terenak dan tepat buat menemani waktu tugas
"Translate Javanese to Indonesian: Batagor lan siomay kingsley iki ora nduwe cabang ning panggon liya. Panganane enak, utamane batator lan siomay lan baksone lan ora nganggo pengawet. Lan lak pengen dinggo oleh-oleh ana paket sing iso digowo muleh. Dipertahane eneh kualitase.","Batagor dan siomay kingsley ini tidak mempunyai cabang di tempat lain. Makanannya enak, terutama batator dan siomay serta basonya dan tidak pakai pengawet. Dan jika ingin buat oleh-oleh ada paket yang bisa dibawa pulang. Dipertahankan lagi kualitasnya."
"Translate Javanese to Indonesian: Aja nganti pesen liwat layanan iki ya kanca-kanca. Nguciwakake! Vila -ne reged, kabeh berkakas ora pantes dienggo","Jangan pernah pesan melalui layanan ini ya teman-teman. Mengecewakan! Villa -nya kotor, semua peralatannya tidak layak pakai"
"Translate Javanese to Indonesian: Pendaftarane mulai sesok, kementerian kominfo mbukak beasiswa pelatihan digital dinggo wong 1.000","Pendaftaran mulai esok, kementerian kominfo buka beasiswa pelatihan digital untuk 1.000 orang"
"Translate Javanese to Indonesian: Minangka netijen sing lagi april kepungkur piknik nyang toba, mung sir omong lak tenan akeh perkara sing nggelakne saka sistem pariwisata ning kana. Parapat -e reget, angel golek akomodasi sing tenan-tenan apik, agen transporasi ora profesional, pokoke ora direkomendasikne dolan nyang parapat.","Sebagai netijen yang baru april lalu piknik ke toba, hanya mau bilang bahwa benar banyak hal yang mengecewakan dari sistem pariwisata di sana. Parapat -nya kotor, susah cari akomodasi yang benar-benar bagus, agen transportasi tidak profesional, pokoknya tidak direkomendasikan pergi ke parapat."
