javanese,indonesian
Aku arep lunga menyang Surabaya sesuk isuk. Kudu numpak sepur jam pitu.,Saya akan pergi ke Surabaya besok pagi. Harus naik kereta jam tujuh.
Panjenengan kedah tumindak kanthi jujur lan adil ing saben wektu. Iku minangka kunci kanggo entuk kapercayan.,Anda harus bertindak dengan jujur dan adil setiap saat. Itu adalah kunci untuk mendapatkan kepercayaan.
"Wah, katon seger banget klambine, tuku ning ngendi kuwi?","Wah, kelihatan segar sekali bajunya, beli di mana itu?"
"Menawi bapak kersa, sumangga dipununjuk rumiyin wedangipun, mboten sah isin-isin.","Jika bapak berkenan, silakan diminum dulu minumannya, tidak usah malu-malu."
Piye kabarmu saiki? Uwis suwe banget ora ketemu. Muga-muga kowe sehat lan bahagia.,Bagaimana kabarmu sekarang? Sudah lama sekali tidak bertemu. Semoga kamu sehat dan bahagia.
Sesuk aku arep melu lomba nembang ing sekolah. Muga-muga bisa menang lan dadi juara.,Besok saya akan ikut lomba menyanyi di sekolah. Semoga bisa menang dan menjadi juara.
"Ngati-ati yen nyabrang dalan, akeh montor lan mobil sliweran. Aja nganti ketabrak.","Hati-hati jika menyeberang jalan, banyak motor dan mobil berlalu lalang. Jangan sampai tertabrak."
"Kula nyuwun pamit rumiyin, amargi sampun wekdalipun kula kedah wangsul. Mugi enggal kepanggih malih.","Saya mohon pamit dulu, karena sudah waktunya saya harus pulang. Semoga segera bertemu lagi."
"Nek kowe pengen pinter, yo kudu sregep sinau lan ora nglokro. Aja lali karo ndonga.","Kalau kamu ingin pintar, ya harus rajin belajar dan tidak putus asa. Jangan lupa dengan berdoa."
"Aja lali ngopeni lingkungan, amarga lingkungan kuwi omah kita dewe. Yen resik, awake yo sehat.","Jangan lupa menjaga lingkungan, karena lingkungan itu rumah kita sendiri. Kalau bersih, badan juga sehat."
"Mugi-mugi panjenengan tansah pinaringan sih rahmat saking Gusti Allah, lan mugi enggal pikantuk jodoh ingkang sae.","Semoga anda selalu diberikan kasih rahmat dari Tuhan Allah, dan semoga segera mendapatkan jodoh yang baik."
"Wah, kowe saiki wis sukses ya. Aku seneng banget krungu kabarmu kuwi. Terus berkarya ya!","Wah, kamu sekarang sudah sukses ya. Saya senang sekali mendengar kabarmu itu. Terus berkarya ya!"
