javanese,ground_truth,generated
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","""Coba dari hotel saya menginap, namun diantar jalan, di sini banyak sekali pilihan makanan, tempatnya yang luas, dan menyenangkan"""
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","""Iya benar, mereka sedang jaga warung."""
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"""Kangkungnya lumayan tapi saus padang nya mengecewakan kami dikasih ikan yang kotor akhir kami tidak makan ikannya dan dibuang saja."""
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","""Makan di braga city walk yang berdekatan dengan aston dan fave hotel, tempat ini sangat nyaman untuk duduk bersantai. Kopi susu yang baru keluar enak sekali, di padukan dengan nasi setengah matang menjadi teman makan malam saya. Tempat yang bebas rokok mulanya menambah ketenangan saat menikmati pemandangan lalu-lalang orang-orang yang masuk keluar mal ini."""
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","""Gianyar mulai bantuan sosial 2018 turun rp 44, 9 milyat"""
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"""Ini salah satu contoh generasi yang tidak untuk. Tidak malah menghina berlebihan buat bangsa tapi malah menjadi sesuatu yang mengundang bangsa! Mantap jeratannya saja bikin uu ini"""
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","""Sore teman, waktu ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses."""
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Memang berat kita ini saya juga bermasalah dengan yang sama
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","""Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puase lebih dari itu. Bisa ketahuan makanan yang puas, tapi rasa tidak mengecewakan, pintar-pintar deh kalo kalo kita sendiri saja bikin deh. Kalau penggemar daging sapi pasti suka ke sini"""
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","""Untuk menuju ke the peak memang hanya satu jalan yang cukup membingungkan dan jalan berkelok-kelok. Namun anda akan tidak akan tersesat karena di sepanjang jalan sudah dicat dengan tanda ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam yang sangat indah."""
