javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Saya tinggal di hotel, tetapi saya berjalan kaki ke sini, di sini banyak pilihan makanan, dan suasana yang menyenangkan.",0.9247621893882751
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya, benar, dia lagi jaga warung.",0.9850653409957886
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"Kangkungnya lumayan, tetapi sausnya terlalu pedas sehingga membuatku kesulitan menelan dan akhirnya aku tidak menyantapnya lagi.",0.8825582265853882
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Manggon di sepanjang city walk yang menghubungkan berbagai gedung dan hotel Aston serta Fave, tempat ini sangat nyaman untuk bersantai sambil menikmati pemandangan orang-orang yang masuk dan keluar mal. Kopi campur teh yang baru saja saya coba sangat enak, dipadukan dengan telur setengah matang menjadi teman santap saya bersama teman-teman. Suasana bebas rokok membuat tempat ini semakin menyenangkan untuk dinikmati.",0.9271581172943115
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar menerima bantuan sosial tahun 2018 sebesar Rp 44,9 miliar.",0.914333164691925
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"Ini adalah salah satu contoh generasi yang tidak untuk diangap remeh. Sebaliknya, mereka menjadi sesuatu yang membantu bangsa! Luar biasa, mereka membuat undang-undang seperti itu.",0.8837815523147583
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore teman, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.",0.9950917959213257
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,"Sebagai penyewa, aku juga memiliki hak dari ketentuan ini.",0.8497501611709595
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir yang harga dagingnya 120 ribu per kilogram. Namun puasnya lebih dari itu. Ada banyak pilihan makanan saat puasa, tetapi rasanya tidak menggembirakan, hanya orang-orang yang pintar yang bisa meracik resep yang cocok. Bagi penggemar daging sapi, tentu harus senang.",0.9072005748748779
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk mencapai puncak memang terasa cukup berat dari pusat kota Bandung, dan akses yang agak membingungkan serta jalan yang berkelok-kelok. Namun, Anda tidak akan kesusahan untuk menemukan jalan karena setiap sudut memiliki tanda yang jelas menuju puncak. Pemandangannya sangat indah untuk Anda yang mencari suasana romantis, apalagi pemandangan kota yang menakjubkan.",0.9327095746994019
