javanese,ground_truth,generated
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","""Cukup dekat dari hotel saya menginap, hanya berjalan kaki, di sini banyak sekali pilihan makanan, tempat yang nyaman, dan menyenangkan"""
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","""Iya benar, keponakanku sedang jaga warung."""
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"""Kangkungnya lumayan tetapi ikan saus padangnya mengecewakan kami diberikan ikan yang kosong terakhir kami tidak makan ikannya dan dikembalikan."""
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","""Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman untuk ngobrol-ngobrol. Kopi campur teh yang masih hangat sekali ini saya coba ternyata enak sekali, dipadu dengan telur setengah matang jadi teman bersilaturahim dengan teman-teman. Tempat yang non-smoker area tambah menyenangkan dengan menikmati pemandangan perginya-datangnya orang ke mall ini."""
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar terima bantuan sosial 2018 senilai rp 44, 9 miliar"
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"""Ini salah satu contoh generasi yang tidak berguna. Tidak malah menguntungkan untuk bangsa tetapi malah jadi sesuatu yang membahayakan untuk bangsa! Tegas jerat saja membuat uu itu"""
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","""Malam kawan, waktu ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses."""
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,"""Sangat lemah memang dia ini saya juga jijik sebenarnya"""
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","""Terakhir ke hanamasa biaya 120 ribu / orang. Tapi puas banget dari itu. Bisa pilih makanan sepuasnya, tapi rasa tidak mengecewakan, cuma pintar-pintarnya kita sendiri meracik. Kalau penggemar daging sapi pasti suka ke sana"""
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","""Untuk menuju ke the peak memang terasa jauh sekali dari pusat kota bandung, dan akses jalan yang agak membingungkan dan jalan berkelok-kelok. Tapi anda tidak akan tersesat karena di setiap sudut ada petunjuk ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat indah."""
Kebon raya bogor isa didadekne salah siji tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata
"The peak panggone ning cedeke lembang, waratan duwur ning bandung sing adem lan panggone sing apik banget nanging dalan ngge moro panggonan iki kelok-kelok banget lan tikungan landep lan curam, ora disarane dingge motoran pas udan-udan lan wengi. Ning the peak ana nggen mangan sing pemandangane kutha bandung sing indah saka nggunung, rega panganane sing larang banget lan ora sumbut.","The peak berlokasi di dekat lembang, dataran tinggi di bandung yang sejuk dan lokasi yang sangat baik namun jalan untuk mencapai tempat ini sangat berkelok disertai tikungan tajam nan curam, tidak disarankan untuk berkendara saat hujan dan malam hari. Di the peak terdapat restoran dengan pemandangan kota bandung yang indah dari perbukitan, harga makanan yang sangat mahal dan sangat tidak sesuai.","""The peak tempatnya dekat lembang, ngasih pemandangan tinggi dari bandung yang sejuk dan tempat yang indah sekali tetapi jalan menuju ke tempat ini berkelok-kelok sangat dan tikungan landai dan curam, tidak disarankan untuk motoran di saat hujan-hujan dan malam hari. Di the peak ada untuk makan yang pemandangannya kota bandung yang indah dari atas gunung, harga makanannya yang mahal sekali dan tidak cocok."
Aku kapok nganggo jasa lion air,Saya kapok menggunakan jasa lion air,Saya kapok menggunakan jasa lion air
Akeh bab sing isa dhewe tindakake kanggo ngisi wektu luwang.,Banyak hal yang dapat kita lakukan untuk mengisi waktu luang.,Banyak hal yang bisa kita lakukan untuk mengisi waktu luang.
Saya apatis ngelaporake bab-bab kaya iki. Amarga nganti minggu wingi isih tetep hurung digarap. Mung janji-janji terus.,Semakin apatis melaporkan hal-hal seperti ini. Karena sampai minggu lalu masih tetap belum dikerjakan. Hanya janji-janji terus.,Saya apatis melaporkan hal-hal seperti ini. Karena sampai minggu kemarin masih belum ditindaklanjuti. Hanya janji-janji terus.
