javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Dari hotel saya menginap, namun membawa jalan, ke sini banyak sekali pilihan makanan, tempat yang luas, dan nyaman",0.9307835102081299
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya benar, deknen lagi jaga warung.",0.9466772079467773
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,Harganya lumayan tapi saus padang bikin kita kecewa kita diberi saus yang kosong akhir kita tidak makan sausnya dan dikembalikan.,0.9166648387908936
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","""Datang ke braga city walk yang berada di antara aston dan fave hotel, tempat ini sangat nyaman untuk duduk-duduk. Kopi campur teh yang baru saja saya coba sangat enak, dipadukan dengan telur setengah matang sehingga sangat cocok dengan teman-teman. Tempat yang bebas rokok yang menambah kesenangan tentunya sambil menikmati pemandangan orang-orang yang masuk ke mal ini.""",0.9373571872711182
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Bantuan sosial Provinsi Gianyar tahun 2018 nilai rp 44, 9 milyar",0.9447750449180603
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,Ini salah satu contoh generasi yang tidak untuk. Sebaliknya malah menjadi sesuatu yang membantu untuk bangsa. Sayang jeritannya saja bikin uu itu,0.9142079949378967
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore teman, waktu ini sedang dilakukan pemeliharaan sehingga aplikasi tidak bisa diakses.",0.9856869578361511
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Kita betul kita sama kita juga jadian awalnya,0.8777931928634644
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir yang pernah saya datangi harganya 120 ribu / orang. Namun puas lebih dari itu. Bisa nikmati makanan dengan puas, tapi rasa tidak mengecewakan, kreatifnya para koki saja kalau membuat. Kalau penggemar daging sapi pasti suka ke sini",0.9417625069618225
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk menuju ke the peak memang harus jauh dari pusat kota bandung, dan akses yang cukup membingungkan serta jalan berkelok-kelok. Namun anda tidak akan kesasar karena tiap tepi jalan ada tanda menuju the peak. Tempatnya sangat indah bagi anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat menawan.",0.9633237719535828
Kebon raya bogor isa didadekne salah siji tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,Kebon raya bogor merupakan salah satu destinasi wisata,0.9629687070846558
"The peak panggone ning cedeke lembang, waratan duwur ning bandung sing adem lan panggone sing apik banget nanging dalan ngge moro panggonan iki kelok-kelok banget lan tikungan landep lan curam, ora disarane dingge motoran pas udan-udan lan wengi. Ning the peak ana nggen mangan sing pemandangane kutha bandung sing indah saka nggunung, rega panganane sing larang banget lan ora sumbut.","The peak berlokasi di dekat lembang, dataran tinggi di bandung yang sejuk dan lokasi yang sangat baik namun jalan untuk mencapai tempat ini sangat berkelok disertai tikungan tajam nan curam, tidak disarankan untuk berkendara saat hujan dan malam hari. Di the peak terdapat restoran dengan pemandangan kota bandung yang indah dari perbukitan, harga makanan yang sangat mahal dan sangat tidak sesuai.","""The peak menjadi tempatnya di wangiana lembang, barat jauh di bandung yang sejuk dan tempatnya yang indah banget tetapi jalan menuju tempat ini keliak-kaliak banget dan tikungan curam dan landak, tidak disarankan untuk motoran saat hujan-hujanan dan malam. Di the peak ada juga untuk makan yang pemandangannya luas bandung yang indah dari pegunungan, harga makanan yang sangat mahal dan tidak terjangkau.""",0.9216521382331848
Aku kapok nganggo jasa lion air,Saya kapok menggunakan jasa lion air,Saya kapok pakai jasa lion air,0.9834986925125122
Akeh bab sing isa dhewe tindakake kanggo ngisi wektu luwang.,Banyak hal yang dapat kita lakukan untuk mengisi waktu luang.,Ada banyak hal yang bisa kita lakukan untuk mengisi waktu luang.,0.9897903203964233
Saya apatis ngelaporake bab-bab kaya iki. Amarga nganti minggu wingi isih tetep hurung digarap. Mung janji-janji terus.,Semakin apatis melaporkan hal-hal seperti ini. Karena sampai minggu lalu masih tetap belum dikerjakan. Hanya janji-janji terus.,Saya apatis melaporkan hal-hal seperti ini. Karena hingga seminggu kemarin masih belum ditindaklanjuti. Hanya janji terus.,0.9425292015075684
Rega dhuwur banget porsi sithik banget ora janji maneh aku teko kanggo kepindho. Panganane ora beda adoh karo emakku dong!,Harga selangit porsi seiprit tidak janji lagi saya datang untuk yang kedua kali. Masakannya tidak beda jauh sama ema saya dong!,Harga mahal sekali porsinya sangat kecil tidak sesuai dengan janji kembali deh saya ke tempat lain. Makanannya tidak beda jauh sama ibu saya dong!,0.9031039476394653
"Anyar lan kashediya, 5 sekat mangan awan kotak kotak mangan yooyee kotak bekal anti bocor 590","Baru dan tersedia, 5 sekat makan siang kotak kotak makan yooyee kotak bekal anti bocor 590","Baru dan berkualitas, 5 set makan terpisah kotak terpisah makan yooyee kotak bekal anti bocor 590",0.9690080881118774
"Ora ngerti ya kenangapa resto iki manggoni ranking 12 saka 1800an resto sing ana ing jakarta. Regane larang! Panggonane ndhelik, lan rasa panganane biasa bae. Aja percaya banget karo review sing nyesatake.","Tidak mengerti ya kenapa resto ini menduduki peringkat 12 dari 1800an resto yang ada di jakarta. Harga mahal! Lokasi tersembunyi, dan rasa makanan biasa saja. Jangan terlalu percaya sama review yang menyesatkanlah.","Tidak mengerti lah kenapa resto ini menempati ranking 12 dari 1800an resto yang ada di jakarta. Harganya mahal! Tempatnya sempit, dan rasa makanan biasa saja. Jangan percaya terlalu dengan review yang menyesatkan.",0.9621178507804871
Bledosan ning aksi protes ning afghanistan mateni wong 68,Ledakan dalam aksi protes di afghanistan tewaskan 68 orang,Korbankan dalam aksi protes di afghanistan bunuhlah orang 68,0.9291085004806519
