javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","""Kesel dari hotelnya menginap, namun dibuat jalan, di sini banyak sekali pilihan makanannya, tempatnya yang luas, dan nyaman""",0.9378328323364258
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya benar, deknen lagi jaga warung.",0.9466772079467773
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"""Minumannya lumayan tapi saus pedas bikin mulut terbakar makannya sedikit dan di balikkan.""",0.8744495511054993
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","""Duduk di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman untuk duduk-duduk. Kopi campur teh yang baru saja ini saya coba sangat enak, dipadukan dengan roti setengah matang menjadi best friend bersama teman-teman. Tempat yang bebas rokok menambah senangnya menikmati pemandangan kedatangan banyak orang yang datang ke mal ini.""",0.938747763633728
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","""Gianyar terima bantuan sosial 2018 nilai rp 44, 9 milyat""",0.9185462594032288
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"""Ini salah satu contoh generasi yang tidak untuk. Tidak malah menjerumani untuk bangsa tetapi justru menjadi sesuatu yang membantu untuk bangsa! Mantap jernihlah buat uu itu""",0.9172715544700623
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","""Sore teman, hari ini sedang dilakukan pemeliharaan sehingga aplikasi tidak bisa diakses.""",0.9693584442138672
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Sesungguhnya sedikit itu hal yang besar baginya,0.8020268082618713
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","""Terakhir yang hamasanya harganya 120 ribu / orang. Tapi puas lebih dari itu. Dapat puasnya. Adonan yang digorengnya puas, tapi rasa tidak mengecewakan, pintar-pintar mereka sendiri saja memasak. Bagi penggemar daging sapi pasti suka ini""",0.9298859238624573
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","""Untuk menuju ke the peak memang harus bersiap-siap berat dari pusat kota bandung, dan akses yang cukup membingungkan dan jalan berkelok-kelok. Tetapi anda tidak akan kesasar sebab di setiap tikungan ada tanda ke the peak. Tempatnya sangat cantik bagi anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat indah.""",0.9588336944580078
